Scale,Severity,Color,Chart_Range_Min,Chart_Range_Max,Actual_Range_Min,Actual_Range_Max
WEXNER,Mild,#00ff00,0,5,0,4
WEXNER,Moderate,#ffff00,5,9,5,8
WEXNER,Severe,#ff0000,9,20,9,+